Layer Name,EPSG,x_min,y_min,x_max,y_max
govmap:layer_sites_natural_area_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_perekshtachimptuchimkavim,3857,34.3643956917424,29.5094997703524,35.862766697615,33.3250050779168
govmap:layer_sites_pop_by_natural_areas,3857,34.2193178484356,29.490423365767,35.8953319768851,33.3340723292595
govmap:layer_sites_pop_by_region,3857,34.2193178484393,29.4904233654832,35.8953319768081,33.3340723296541
govmap:layer_sites_power_line_corridors_test,3857,34.3947566381305,29.5539676956865,35.8276012311178,33.2097771211264
govmap:layer_sites_rights_mahoz,3857,34.2670269229874,29.4926344051196,35.8953835619767,33.3351480519192
govmap:layer_sites_rights_stations,3857,34.5622523556315,29.5577762230253,35.6933123765022,33.2127058498535
govmap:layer_sites_river_pollution_prod,3857,34.3783583759447,30.8125541973885,35.5526744486262,33.0508304245004
govmap:layer_sites_roads_1937_1947_prod,3857,34.1996549094804,29.4949939714506,35.951272304919,33.2819609270191
govmap:layer_sites_roads_1937_prod,3857,34.4279425147196,29.4949939714485,35.9512723056821,33.2819609270168
govmap:layer_sites_roads_1948_1967_prod,3857,34.1996549096269,29.4923971613889,35.9512723063015,33.2819609270172
govmap:layer_sites_roads_1968_2006_prod,3857,34.19965490968,29.4775199197582,35.9512723057213,33.3255390259905
govmap:layer_sites_roads_2020_all_prod,3857,34.2705407238111,29.4920564563312,35.8542640438245,33.3260644536404
govmap:layer_sites_roads_2020_prod,3857,34.2705407238111,29.4920564563312,35.8542640438245,33.3260644536404
govmap:layer_sites_rz_point,3857,34.8517550327092,32.0718962578478,35.3463334229728,32.8992171672574
govmap:layer_sites_rz_polygon,3857,34.8518720295634,32.0720701795199,35.3462829482178,32.8993711795876
govmap:layer_sites_rz_polyline,3857,34.8517259409527,32.0718641684867,35.3464038716138,32.8995004434799
govmap:layer_sites_solar_power_plant_test,3857,34.3602275987813,29.723631850608,35.8270233015675,33.1974858899696
govmap:layer_sites_strip_display_layer_not_statutory_test,3857,34.3944279772084,29.5526145818498,35.8292051036957,33.2097771211264
govmap:layer_sites_tama1lines,3857,34.2673167471031,29.4537634187208,35.8953835619767,33.3351480519192
govmap:layer_sites_tama1points,3857,34.502599253697,29.5198008411792,35.5857633631167,33.2210207898227
govmap:layer_sites_tama1polygon,3857,34.2673167471031,29.4537634187208,35.8953835619767,33.3351480519192
govmap:layer_sites_tkufat_bniya_prod,3857,34.730908756506,31.9778472232718,34.8592591966455,32.1445055055181
